,target
27299,0
41769,1
40937,0
2194,1
39538,0
24899,0
42621,0
35121,0
35684,0
28931,0
27301,0
15373,0
1842,0
23350,0
11970,0
18817,0
14211,0
15327,0
8578,0
12707,0
9725,1
16202,0
31427,0
39027,0
31461,0
3576,0
42586,0
5079,0
4664,0
31241,0
7357,0
32412,0
32600,0
20156,1
16795,1
21697,0
15277,0
10099,0
28642,0
42187,1
29861,0
21966,0
38706,0
29278,0
21079,0
17087,0
3414,0
32255,0
2140,0
10134,0
10216,0
5555,0
18401,0
4259,1
10366,0
35816,0
32425,0
18648,0
26117,0
40244,0
43013,0
24650,1
32093,0
27303,0
34534,0
19613,0
17851,0
31503,0
40063,0
18789,0
33483,0
41215,0
5844,0
12189,0
26807,1
31674,0
36916,0
1212,0
42918,0
38518,0
37995,0
42563,0
37135,0
5721,0
40814,0
34224,0
19248,0
37377,0
33924,0
31621,0
17627,0
10949,0
11354,0
10162,0
36262,1
39136,0
4236,0
29843,0
34926,0
39273,0
2449,0
39900,0
2286,1
32682,0
13007,0
18744,0
24826,0
40862,0
22901,0
18502,0
37818,0
31817,0
9723,1
33313,0
8023,0
18195,0
41643,0
17671,1
8459,0
18222,0
24267,0
27161,0
39777,0
1035,0
7625,0
39865,0
9729,1
7290,0
28407,0
35839,0
6967,0
4864,0
33915,0
37024,1
38455,0
43341,0
18846,0
22757,0
34384,0
1512,0
39413,0
21825,0
3682,0
38384,1
36943,0
17646,1
18053,0
21916,0
18848,0
9528,0
6855,0
30177,0
33666,0
24410,0
6395,0
8874,0
5181,1
42317,0
36024,0
18722,0
1682,0
17337,0
32925,0
40363,0
26248,0
38423,0
30312,0
31495,0
1481,0
11219,0
29397,0
11125,0
21052,0
12143,0
19603,0
10266,0
6064,0
11813,0
43072,0
13137,0
5842,0
17175,0
33671,0
29616,0
28503,0
20349,1
19988,1
24641,0
14719,0
23996,0
30731,0
25270,0
40288,0
42078,0
31626,0
1110,0
35186,0
8939,0
1851,0
41355,0
32127,0
412,0
27774,0
27051,0
39964,0
517,1
42825,0
19249,0
23480,0
40752,0
17210,0
26820,0
10222,0
32547,0
1394,0
19756,1
25228,0
6595,0
35812,0
30656,0
14735,0
26455,0
29698,0
42904,0
37402,0
36381,0
6059,0
2662,1
21370,0
8269,1
20668,1
12626,0
40397,0
39108,0
20933,0
22142,0
21699,0
14927,0
40665,0
36260,1
6550,0
27832,0
16350,0
34657,0
29240,0
14433,0
34485,0
1726,0
17328,0
7311,0
18410,0
14511,0
6862,0
5353,0
9223,0
29105,0
11302,0
25995,1
20014,1
24950,0
33658,1
20954,0
6525,0
33258,0
35627,1
26416,0
7316,0
29898,0
6789,1
9413,0
26720,0
39882,0
9123,0
5661,0
40078,0
3480,0
3293,0
36330,0
34546,0
2781,0
9294,0
41979,1
14859,0
19445,0
5356,0
33458,0
38042,0
7835,0
33426,0
24747,1
31100,0
27803,1
17135,0
24130,0
26993,0
31038,0
13057,0
3171,0
23925,0
24401,0
17895,1
28701,0
37960,0
22921,1
29311,0
36254,1
19389,0
42307,1
8212,0
41455,0
21155,0
23569,1
38010,0
27644,0
23838,0
21022,0
33320,0
42867,0
42089,0
21275,1
17907,0
3198,0
4160,0
27566,1
13631,0
36094,0
42062,0
30770,0
25732,0
29629,0
11051,0
37923,0
13526,0
32116,0
35137,0
28789,0
40576,0
9462,0
24914,0
21178,1
34935,0
30340,0
22774,0
17889,1
12066,0
37518,0
31459,0
42903,0
34480,0
33026,0
35624,1
8111,0
28730,0
7602,0
26261,0
31809,1
8978,0
10055,0
12993,0
21058,0
39300,0
12251,1
9497,0
8931,0
7903,0
24961,1
8000,0
40791,0
23786,0
8037,0
25947,0
26336,0
19863,1
1933,0
15472,0
9730,1
18695,0
2995,0
43347,0
3820,0
4691,0
4867,0
41428,1
28832,0
12034,0
17436,0
20558,0
16832,0
8847,1
5918,0
35767,0
14366,0
4681,0
22271,0
40887,0
1875,0
42455,1
34869,0
28926,1
33345,0
20608,0
11692,0
10576,0
39047,0
8465,0
22744,0
37395,0
18763,0
11914,0
36446,0
31465,0
9781,0
960,1
18794,0
35987,1
9620,1
24465,0
18005,1
9480,0
21483,0
19632,0
23516,0
38636,1
26409,0
10170,0
30050,0
37141,0
19801,1
38301,0
19009,1
24054,0
10876,0
32796,0
17249,0
20034,0
24192,1
15001,0
13095,0
35565,0
43153,0
32228,0
7654,0
848,0
25608,0
28956,1
1621,0
5251,1
29363,1
765,1
29365,1
3778,1
41509,0
31582,0
38753,0
42348,0
13911,0
1968,0
13954,0
19550,0
33793,0
3932,1
10155,0
14810,0
10848,0
426,1
14281,0
1254,0
9985,0
20824,0
36681,0
4056,0
710,1
40673,0
27994,0
37066,0
31157,0
17447,0
9199,0
13770,0
14045,0
23332,0
42529,0
29458,0
3235,0
12599,0
20102,0
4358,0
7038,0
13066,0
24687,1
29288,0
30560,0
15926,0
21719,0
3007,0
9156,0
17082,0
21235,0
41020,0
38794,0
41718,1
1800,1
32651,0
12918,0
26182,0
15810,0
15786,0
2248,0
10752,1
37646,0
36527,0
24880,0
10586,0
32624,0
17256,0
35549,0
27929,0
101,1
25813,0
32010,0
12529,0
425,1
33231,0
30648,0
647,0
40061,0
20845,0
38425,0
33452,0
37245,0
25748,0
18628,0
24578,0
31559,0
36176,0
7508,0
32840,0
42752,0
10954,0
17943,1
31090,0
41743,1
12908,0
42422,0
42041,0
23539,1
39404,0
41742,1
8080,1
43095,0
14434,0
24353,0
15972,0
22010,1
37017,0
29165,0
23864,0
20281,0
29863,0
28853,0
8586,0
17560,1
756,0
2828,0
20216,0
13617,0
40917,0
2041,1
27261,1
34426,0
39729,0
21056,0
16291,0
24005,0
24783,0
16413,0
11117,0
21427,0
32243,0
15039,0
746,1
38814,0
31282,0
30286,0
17433,0
12213,0
11848,0
19579,0
25056,1
22018,1
15734,0
17695,1
41691,0
39007,0
611,1
8642,0
13569,0
7885,0
28554,0
29749,0
1566,0
5396,0
31290,0
8554,0
33059,0
29822,0
8630,0
14332,0
9498,0
20860,0
25463,0
4315,0
38267,0
18152,0
4407,0
18080,1
15068,0
10064,0
40291,0
12677,0
16535,0
30765,0
23552,1
35417,0
30576,0
25671,0
8421,0
6990,0
34824,0
6546,0
1166,0
36954,0
42912,0
11434,0
1164,0
19840,1
7202,0
338,0
17046,0
27335,1
5819,0
24598,0
30842,0
141,0
42608,0
42229,0
17725,1
10805,0
25146,0
31829,0
34024,1
34771,0
27545,1
4191,0
39857,0
14513,0
33306,0
35178,0
18465,0
17424,0
17185,0
29572,0
21558,0
23764,0
28541,0
7321,0
981,0
16035,0
38458,0
28267,1
18910,0
39627,0
38701,0
5302,0
28731,0
14260,0
5902,0
7634,0
4167,0
