,target
10006,0
29198,0
26550,0
30124,0
2557,0
25195,1
39003,0
22327,1
2088,0
26816,0
34957,0
34950,0
30775,0
6973,0
29847,0
19141,0
318,0
42731,0
28604,0
13683,0
38212,0
20422,0
41129,0
16263,0
8802,1
42427,0
41458,0
4439,1
8288,1
14436,0
43255,0
18800,0
10638,0
26781,0
39299,0
41588,0
25246,0
24955,0
16593,0
38945,0
37164,0
39208,0
10036,0
21611,0
37983,0
16612,0
9051,0
7117,0
3278,0
14450,0
34425,0
19230,0
35642,0
35232,0
9657,1
9392,0
26626,1
16093,0
14093,0
553,0
3673,0
39724,0
8596,0
32557,0
29248,0
13573,0
13677,0
10506,0
33065,0
41285,0
41786,1
10089,0
2376,1
5921,0
26021,0
10262,0
27634,0
28933,0
35679,0
7352,0
37492,0
38178,0
18611,0
32928,0
8424,0
27331,1
36531,0
22484,1
4262,1
2925,0
39486,0
21424,0
5101,1
34809,1
6463,0
41367,0
7532,0
42182,1
9646,1
32556,0
2990,0
26854,0
41452,0
12883,0
9769,0
22924,1
22575,0
14922,0
9602,0
8471,0
26988,0
9503,0
10593,0
19410,0
27354,1
13554,0
4115,0
7001,0
25034,0
3355,0
34624,0
15490,0
15656,0
11638,0
31546,1
31679,0
22185,0
29510,0
35012,0
12005,0
35048,0
23913,0
5521,0
11730,0
22649,0
42889,0
37056,0
14526,0
39441,0
10640,0
21739,0
22311,0
7309,0
6882,1
33269,0
12641,0
13418,0
37936,0
41698,0
9307,0
39863,0
20282,0
23846,1
6135,1
25194,1
35111,0
868,1
42301,1
22960,0
20119,0
27582,0
42905,0
20139,1
38859,1
37667,0
20663,1
32361,1
7425,0
29327,0
4761,0
30524,0
9588,0
31392,0
41680,1
1160,1
14221,1
31799,0
20116,0
10527,0
37742,0
14256,0
18689,0
8192,0
9751,1
28122,1
42253,0
25756,0
2048,1
38084,0
9805,0
12833,0
3467,0
23670,0
40259,0
21405,0
9159,0
580,1
10038,0
23675,0
3283,0
17817,1
27692,1
38677,0
34383,0
13559,0
27532,1
25809,0
33971,0
19010,1
40538,0
1271,1
23706,0
5336,0
25549,0
19674,0
24981,0
1314,0
35423,0
23384,0
5490,0
11143,0
32873,0
9422,0
30216,0
27129,0
30175,0
6721,0
1243,0
20910,0
5090,1
13979,0
26688,0
16677,1
15144,0
22998,0
8678,0
1335,0
11587,0
22175,0
15355,0
9797,0
21485,0
38196,0
20941,0
10005,0
22514,0
21837,0
23292,0
25178,0
32215,0
9147,0
18584,0
10846,0
24892,0
41831,1
8063,0
31592,0
11533,0
35644,0
2856,0
9389,0
5189,0
1483,0
38153,0
18706,0
33079,0
20579,1
2462,0
17604,0
39631,0
13575,0
18312,0
35604,0
16338,0
4655,0
22166,0
2753,0
24806,0
1177,0
23746,0
27407,0
26274,0
6531,0
39001,0
22125,0
8414,0
12503,0
18117,0
20288,0
40926,0
15477,0
3131,1
11362,0
10813,0
9237,0
10523,0
33968,0
29834,0
15476,0
16900,0
38898,0
14047,0
21921,0
2468,1
15505,0
13708,0
35586,0
18852,0
31432,0
6094,1
9286,0
1429,0
28435,0
35713,0
2685,0
40589,0
18430,0
31036,0
42357,1
3609,1
9490,0
5094,1
35550,0
6045,0
32021,1
22014,1
35229,0
12462,0
27907,0
17392,0
3411,0
9957,0
13372,0
38203,0
9970,0
39662,1
3876,0
21523,0
10258,0
29880,0
1597,0
37345,0
30614,0
30565,0
39204,0
24604,0
36009,0
4994,0
31223,0
11788,0
30428,0
10718,0
23154,0
12236,0
4143,0
9513,0
1536,0
11637,0
24210,1
16588,0
41957,1
29754,0
40280,0
20484,0
38855,0
26630,1
38890,0
22686,0
19663,0
13705,0
7553,0
12146,0
18911,0
27119,0
31167,0
21136,0
33112,0
35468,0
28744,0
40169,0
27275,1
11567,0
30453,0
26339,0
21366,0
22115,0
21197,0
9149,0
33628,0
39281,0
12909,0
6236,0
18082,1
20546,1
41955,1
766,1
22504,0
32013,0
16646,0
31851,0
13905,0
9084,0
7989,0
21157,0
13039,0
26617,1
12738,0
36764,0
38555,0
32280,0
698,1
